timestep	potential_energy	temperature
179999	9672120.008	0.9976604148
359999	7999662.47	1.001910919
539999	7946390.261	1.007028942
719999	7929250.69	0.995797622
899999	7985121.127	1.00203813
1079999	7944065.503	0.9994476727
1259999	7985601.759	1.006053587
1439999	7940388.328	0.9978752413
1619999	7941325.507	1.001852154
1799999	7993417.67	1.015759084
1979999	7927613.968	0.9976190552
2159999	7988126.032	0.9946361381
2339999	7982255.649	0.9989902378
2519999	7979350.167	0.9960309422
2699999	7949566.401	0.9961025309
2879999	7942923.81	1.00430975
3059999	7984912.42	0.9947861267
3239999	7943340.18	0.9990428329
3419999	7928377.607	0.9984474357
3599999	7941300.665	0.9984664233
3779999	7947655.196	0.9981022834
3959999	7933070.581	0.9965440369
4139999	7935630.818	0.9897142239
4319999	7933064.361	0.986329395
4499999	7932496.416	1.005385124
4679999	7939022.915	0.9971989397
4859999	7945833.347	1.006026417
5039999	7985961.614	0.992758924
5219999	7939602.42	0.9993785384
5399999	7936483.864	1.004677924
5579999	7970873.353	1.0051693
5759999	7937663.82	1.00587956
5939999	7990479.578	1.000884725
6119999	7934908.602	1.001871361
6299999	7978496.142	0.9996881307
6479999	7936625.236	0.9938937595
6659999	7927709.083	0.9966069766
6839999	7946422.714	0.9938646291
7019999	7935271.89	0.9965847259
7199999	7927044.44	0.998293717
7379999	7930727.577	0.998967052
7559999	7985731.684	1.002391998
7739999	7934657.377	1.005641858
7919999	7928708.054	1.002098584
8099999	7937097.413	0.9931812161
8279999	7938351.686	0.9993251627
8459999	7934249.087	0.9931865261
8639999	7940147.57	1.00023784
8819999	7933636.486	0.9990930743
8999999	7941238.065	0.9922404251
9179999	7939455.831	0.9997125524
9359999	7941092.114	1.003259831
9539999	7930241.916	1.002481985
9719999	7938727.705	0.9951103514
9899999	7941315.175	0.9956912067
10079999	7999751.831	0.9899523408
10259999	7943881.96	1.002244538
10439999	7936311.182	1.004770361
10619999	7987563.683	0.9933612805
10799999	7941211.891	0.9877621617
10979999	7932894.828	0.9972014975
11159999	7943685.862	1.003188568
11339999	7941807.302	0.9994872576
11519999	7929171.678	0.9902931097
11699999	7980277.267	0.9959940028
11879999	7947149.367	1.002499089
12059999	7993703.01	1.001129169
12239999	7938454.022	1.003420582
12419999	7948028.336	1.004576402
12599999	7942651.602	0.9911889382
12779999	7941976.264	1.001324321
12959999	7934168.325	0.9985509945
13139999	7935295.532	1.003952943
13319999	7950956.81	0.9988946978
13499999	7988872.902	0.9928347024
13679999	7937620.914	0.9923248473
13859999	7933187.283	1.007831023
14039999	7938480.047	0.998987251
14219999	7937461.705	1.00066959
14399999	7932944.29	1.009590723
14579999	7927130.831	1.00639259
14759999	7925423.029	0.9926014968
14939999	7987228.106	1.001738259
15119999	7946381.286	1.008614281
15299999	7933952.06	0.9967723819
15479999	7980931.202	0.9960688335
15659999	7997398.811	0.9944922338
15839999	7944295.864	1.000491454
16019999	7976941.465	1.001517965
16199999	7939720.73	1.000478408
16379999	7935486.59	0.9974808166
16559999	7940019.971	0.9927927506
16739999	7936540.149	0.9947114163
16919999	7944354.993	1.011658544
17099999	7937052.362	0.9956058077
17279999	7982176.291	0.9945156467
17459999	7940768.603	1.00456919
17639999	7945544.884	1.00191529
17819999	7985063.283	0.9921375665
17999999	7946156.581	0.9984053067
18179999	7933556.693	0.99865166
18359999	7985506.936	0.9905469441
18539999	7948298.018	0.9918405857
18719999	7932334.417	0.9881793332
18899999	7945446.976	1.002705704
