timestep	potential_energy	temperature
179999	8761902.363	0.9902632777
359999	7998597.711	1.009563628
539999	7981806.84	0.9892035336
719999	7943790.786	0.9917681467
899999	7991411.87	0.9996118745
1079999	7942411.769	0.9982467026
1259999	7974451.807	0.9950775816
1439999	7949303.218	0.9951108967
1619999	7933054.261	0.9999533491
1799999	7940937.605	0.9927179391
1979999	7943254.677	1.000300341
2159999	7934534.58	1.004343437
2339999	7930531.746	0.996919019
2519999	7936653.68	1.003650685
2699999	7944026.774	0.9966358499
2879999	7937436.532	0.9947584693
3059999	7980344.98	0.9969037716
3239999	7977062.437	0.9943889619
3419999	7949778.555	0.9985751739
3599999	7988047.173	1.006369078
3779999	7945659.229	0.992517693
3959999	7946661.643	0.9909980319
4139999	7933085.471	0.9927452096
4319999	7941354.523	1.001091565
4499999	7976417.417	0.9936877725
4679999	7941115.807	1.001080999
4859999	7985272.501	0.9932743919
5039999	7942998.381	0.9993801187
5219999	7937322.043	1.011989003
5399999	7939716.851	0.990861442
5579999	7939315.412	1.002881446
5759999	7932836.663	0.9980937248
5939999	7946647.007	0.9916820849
6119999	7943027.571	0.996964199
6299999	7985718.993	1.004494207
6479999	7936559.276	1.001333637
6659999	7941402.073	0.9880042806
6839999	7987844.529	0.9939044045
7019999	7976885.578	1.007499041
7199999	7930903.127	1.006088477
7379999	7930326.381	1.001049755
7559999	7951651.151	1.003514255
7739999	7933598.745	1.002458421
7919999	7987009.061	0.9937349854
8099999	7930702.925	0.999005351
8279999	7970728.15	1.008241641
8459999	7942724.826	0.9927627316
8639999	7979015.672	0.9999208599
8819999	7984324.315	0.9972527911
8999999	7936664.991	1.003509274
9179999	7990301.018	1.000769041
9359999	7947012.541	0.9969742667
9539999	7931781.344	0.9987117543
9719999	7925024.086	0.9977692377
9899999	7979038.02	1.001022297
10079999	7948458.275	1.00666102
10259999	7983410.123	0.9966633554
10439999	7923303.408	0.9948294138
10619999	7984278.956	1.001845759
10799999	7929701.728	1.001018233
10979999	7978713.134	1.001859629
11159999	7937087.491	0.9981571484
11339999	7928069.081	1.003068735
11519999	7980722.96	1.006807336
11699999	7933190.31	1.002854414
11879999	7924426.667	0.9938411225
12059999	7926931.147	1.005118522
12239999	7935423.916	1.002155432
12419999	7932001.439	0.994196844
12599999	7936794.302	0.9925168039
12779999	7934017.449	0.9961302939
12959999	7937874.389	0.9969687324
13139999	7985037.438	0.9957774808
13319999	7935472.291	0.9996839213
13499999	7937741.59	1.005824591
13679999	7932903.208	1.009666459
13859999	7921122.347	1.00132254
14039999	7937172.824	0.9972388515
14219999	7979454.176	0.9957178979
14399999	7983371.666	0.9998615896
14579999	7936577.545	0.9902759973
14759999	7969560.019	1.007500275
14939999	7929403.067	1.005523263
15119999	7937628.516	0.9982038492
15299999	7932355.573	1.004121177
15479999	7938102.737	1.005102316
15659999	7934038.167	1.00051708
15839999	7947406.732	0.997532029
16019999	7987936.177	1.000102462
16199999	7951423.288	0.9929404176
16379999	7928838.419	1.006015196
16559999	7983717.833	1.005568724
16739999	7938799.829	1.009935632
16919999	7992662.625	0.9982473847
17099999	7933473.074	0.9977307267
17279999	7941352.708	0.992583401
17459999	7988283.464	1.001864587
17639999	7984755.001	0.9974170176
17819999	7929999.73	0.9965862001
17999999	7939186.07	1.003073687
18179999	7993116.53	1.003574934
18359999	7935629.98	0.9938215188
18539999	7935922.09	1.00151387
18719999	7938417.519	0.9960400859
18899999	7941069.138	1.002181133
