timestep	potential_energy	temperature
179999	9653714.437	0.9986107151
359999	7934017.256	0.9871857316
539999	7936083.199	0.9986791756
719999	7937594.493	0.9990207434
899999	7935712.512	1.004438966
1079999	7946679.894	1.004841505
1259999	7934323.36	1.000269599
1439999	7927386.799	0.9950175703
1619999	7940401.916	0.9920232578
1799999	7933188.846	0.9846302376
1979999	7943675.098	1.002637628
2159999	7989768.953	0.9976305768
2339999	7929114.505	0.9976134497
2519999	7941500.963	1.014920247
2699999	7945531.675	0.9978610371
2879999	7995491.202	0.9989828957
3059999	7938500.381	0.9950204862
3239999	7941267.512	1.007677593
3419999	7929648.464	0.9907721294
3599999	7949353.619	1.005348428
3779999	7940431.55	0.9975715807
3959999	7941579.362	1.0092963
4139999	7931472.024	0.9953380095
4319999	7980981.605	1.006578449
4499999	7940174.576	0.9999117234
4679999	7927388.17	1.003647299
4859999	7936661.08	0.9981330848
5039999	7937516.57	1.004890596
5219999	7933859.584	0.9998306667
5399999	7978066.588	1.002069648
5579999	7937236.358	0.9939743013
5759999	7937308.125	1.006539866
5939999	7940192.041	1.006208182
6119999	7934492.084	1.009460021
6299999	7925244.543	1.000810284
6479999	7950102.713	0.9958606905
6659999	7945917.828	1.001890345
6839999	7980293.153	1.001260487
7019999	7936666.244	1.008332951
7199999	7936225.383	1.005717971
7379999	7980199.433	1.000544155
7559999	7934492.712	1.000252947
7739999	7968941.02	0.9963777665
7919999	7935442.724	0.9962809343
8099999	7932374.279	1.002439784
8279999	7938516.643	0.9850255819
8459999	7932395.953	0.9921292692
8639999	7983586.109	0.993807049
8819999	7939612.288	0.9975439462
8999999	7977285.645	0.9987833158
9179999	7979830.847	0.9989985222
9359999	7943148.347	0.9931695919
9539999	7986141.825	1.007660339
9719999	7935239.093	1.003252148
9899999	7984558.35	1.002676319
10079999	7927110.446	1.000309885
10259999	7947949.227	0.9929171396
10439999	7938598.956	0.9924886725
10619999	7934198.231	0.9927785633
10799999	7939100.388	0.9964275902
10979999	7989089.85	1.008039559
11159999	7924357.494	0.9930565456
11339999	7937159.846	1.007931066
11519999	7986327.216	1.00768337
11699999	7939099.102	1.000512324
11879999	7933020.963	1.002152293
12059999	7940182.204	0.9996725137
12239999	7951264.931	1.00223985
12419999	7931103.727	1.003612994
12599999	7987654.064	0.9926782071
12779999	7925044.251	0.998204015
12959999	7935002.007	1.004256154
13139999	7981590.137	1.00784773
13319999	7940430.131	0.9939674293
13499999	7975658.755	0.9969949039
13679999	7939419.977	1.002511683
13859999	7929688.086	0.9948902227
14039999	7928207.877	0.9857521607
14219999	7939596.738	0.9961896345
14399999	7982048.941	1.008271071
14579999	7953358.219	1.000912793
14759999	7937867.763	1.002585354
14939999	7969288.139	1.002671394
15119999	7937893.46	1.001769834
15299999	7933662.762	0.9956882176
15479999	7942794.355	1.009760523
15659999	7939475.973	1.004006377
15839999	7981009.313	0.9988284345
16019999	7934344.578	0.9918346796
16199999	7936309.886	1.014550066
16379999	7939056.879	0.9978206485
16559999	7929526.658	0.984310593
16739999	7940321.332	1.005556349
16919999	7978317.15	1.00758029
17099999	7937353.077	1.000227056
17279999	7948149.063	1.002588037
17459999	7928129.028	1.002543562
17639999	7979312.616	1.000901492
17819999	7935727.643	1.003042404
17999999	7937626.665	1.009971563
18179999	7986743.217	0.9956321834
18359999	7930815.806	1.000899452
18539999	7926322.08	1.005219554
18719999	7956478.171	0.9908880954
18899999	7937881.334	0.9968966596
