timestep	potential_energy	temperature
179999	4780678.376	0.9969066864
359999	4138112.995	0.9972908845
539999	4037089.199	1.003821908
719999	4017868.461	1.001530897
899999	3975784.34	1.005823597
1079999	3776767.021	1.00147047
1259999	3762352.788	0.9915734368
1439999	3761115.766	0.997377331
1619999	3772917.025	1.007660705
1799999	3774964.321	1.0054362
1979999	3771269.695	1.001648585
2159999	3764739.184	0.9996287254
2339999	3766595.367	0.9995276973
2519999	3777843.917	0.9885951324
2699999	3766595.113	1.00442699
2879999	3760450.397	1.001275176
3059999	3780704.172	0.9951185006
3239999	3760076.128	1.001338782
3419999	3767195.033	0.9970697078
3599999	3761385.24	1.002690914
3779999	3758305.64	0.9966486141
3959999	3777739.963	1.007220173
4139999	3759423.286	1.001304635
4319999	3759636.364	0.9999411546
4499999	3756654.221	0.9947250949
4679999	3758442.695	1.003334948
4859999	3762937.355	0.9935270552
5039999	3774381.903	1.007273965
5219999	3750661.823	0.9943222487
5399999	3779400.393	1.000188406
5579999	3769939.153	1.002521471
5759999	3768659.313	0.9979489274
5939999	3755946.815	0.9994087242
6119999	3780430.864	1.001131155
6299999	3765123.249	0.9947805914
6479999	3753888.488	1.00011018
6659999	3763237.39	0.9971576363
6839999	3768961.208	0.9978646019
7019999	3757765.07	1.006946585
7199999	3756031.901	0.9966135984
7379999	3770318.516	0.9992262666
7559999	3763836.513	1.0034953
7739999	3764868.462	0.9973280741
7919999	3759722.081	0.9953394547
8099999	3762040.311	0.9969875846
8279999	3778429.585	0.9957656215
8459999	3770403.276	0.9988545238
8639999	3757757.266	1.007266938
8819999	3771592.1	0.9932888025
8999999	3767549.738	1.001615527
9179999	3778236.487	1.002294264
9359999	3777843.931	1.005200398
9539999	3772219.482	1.004555715
9719999	3773514.002	1.001942857
9899999	3755155.199	1.001898057
10079999	3761852.254	1.002930469
10259999	3752781.401	0.9987818166
10439999	3762536.151	0.9936107908
10619999	3759748.193	1.001797053
10799999	3774509.423	0.9965662182
10979999	3785771.189	1.001429385
11159999	3772596.067	0.9974156209
11339999	3783205.45	1.000011025
11519999	3779624.23	0.9948612205
11699999	3772853.152	1.01306883
11879999	3778570.339	1.005263147
12059999	3783753.688	0.9987451493
12239999	3759253.219	1.00441656
12419999	3764762.636	0.9951327898
12599999	3772297.816	1.001766949
12779999	3776644.791	1.0051158
12959999	3789520.208	1.009065224
13139999	3758534.96	1.004442316
13319999	3759746.657	0.9999633236
13499999	3762931.461	0.997304028
13679999	3771346.315	1.006805021
13859999	3743586.453	0.9976166863
14039999	3775724.123	0.9973002202
14219999	3752760.588	1.00630719
14399999	3779867.175	1.002394316
14579999	3776613.501	0.9982333756
14759999	3762160.314	0.9929149702
14939999	3746825.876	0.9980952324
15119999	3758114.948	1.001530009
15299999	3758874.783	0.9965273089
15479999	3747197.853	1.008892193
15659999	3769936.491	0.9966314528
15839999	3764893.778	0.9981954269
16019999	3755309.922	1.00293591
16199999	3767432.612	1.00387771
16379999	3767218.926	0.9998424192
16559999	3758108.868	0.9905627181
16739999	3771089.129	1.008715272
16919999	3765010	0.9977173861
17099999	3757223.054	0.9950287069
17279999	3777502.046	0.9955974386
17459999	3771447.234	0.9945395549
17639999	3755471.492	1.005249257
17819999	3774525.762	1.005263164
17999999	3780233.619	0.993319284
18179999	3764930.55	0.9978664705
18359999	3780832.348	1.005144371
18539999	3759392.38	0.997657323
18719999	3780277.87	0.9933389038
18899999	3761154.127	0.9970131839
