timestep	potential_energy	temperature
179999	8624279.882	1.000828412
359999	8041287.627	1.003144706
539999	8047908.73	1.006656605
719999	8049403.425	1.002102427
899999	8049320.832	0.9993703253
1079999	8046338.367	1.002093353
1259999	8050482.765	0.9925953649
1439999	8045900.019	0.9974428603
1619999	8057640.977	0.9925856058
1799999	8048382.841	0.9926463286
1979999	8053602.917	0.9978892586
2159999	8052136.516	1.002720984
2339999	8065934.646	1.000340701
2519999	8057937.785	1.008226514
2699999	8093883.805	1.000667942
2879999	8049671.574	1.007813039
3059999	8055494.917	0.9986505299
3239999	8061544.114	1.001595911
3419999	8047067.023	1.002097354
3599999	8067389.275	1.003191699
3779999	8059964.857	1.004292056
3959999	8056164.104	0.9990458094
4139999	8051770.801	0.9975483492
4319999	8056972.022	1.006909874
4499999	8050287.259	1.004217762
4679999	8058789.349	1.002166317
4859999	8052681.66	1.003516053
5039999	8043011.51	0.9990962617
5219999	8043322.794	1.000988773
5399999	8042423.555	0.9933993306
5579999	8099992.715	0.9911919198
5759999	8057365.235	1.003815383
5939999	8045852.713	1.001312316
6119999	8053726.962	0.9950472215
6299999	8052765.363	0.9951010508
6479999	8041541.883	0.9946588369
6659999	8091560.532	1.004011244
6839999	8042647.429	0.9985942711
7019999	8100402.382	0.9978009425
7199999	8060820.559	1.000714789
7379999	8045806.223	1.001732858
7559999	8052260.698	1.001969552
7739999	8045969.805	0.995949516
7919999	8048626.646	1.006541938
8099999	8089007.776	0.9993495194
8279999	8046908.777	0.9960556876
8459999	8047216.022	1.006801243
8639999	8053678.448	1.006335857
8819999	8104069.1	0.9876851745
8999999	8058308.176	1.000628901
9179999	8101681.033	1.011810209
9359999	8060060.079	1.004350673
9539999	8061841.807	1.002805325
9719999	8053087.058	0.9974946123
9899999	8049851.322	1.003559091
10079999	8058062.304	1.006171664
10259999	8050566.483	0.9990228051
10439999	8058601.875	1.004112751
10619999	8055123.467	1.000723888
10799999	8046884.654	0.9940982299
10979999	8039251.765	0.9995501699
11159999	8039060.406	1.000872271
11339999	8045677.763	0.9999228206
11519999	8055067.905	1.000088383
11699999	8043110.772	0.9979340358
11879999	8042778.987	1.004398502
12059999	8102730.029	0.9990238848
12239999	8043569.797	0.9962597949
12419999	8046708.593	1.010653896
12599999	8054942.906	1.000232618
12779999	8060813.202	0.9938964015
12959999	8048305.001	0.9964268532
13139999	8099567.786	1.001785952
13319999	8046322.611	1.002043796
13499999	8040877.175	0.9927433602
13679999	8043174.452	0.9882760279
13859999	8087893.771	1.004810433
14039999	8051090.779	0.9916710343
14219999	8043387.171	1.000562743
14399999	8041483.331	0.9901650732
14579999	8047521.599	0.994513138
14759999	8056746.252	1.002772167
14939999	8059538.289	0.9954642075
15119999	8047490.482	1.00892913
15299999	8046070.473	1.008537988
15479999	8056615.372	1.00177978
15659999	8098186.733	1.004351466
15839999	8059913.788	1.000252992
16019999	8041777.283	1.006488254
16199999	8045933.056	0.9933341231
16379999	8099308.229	0.9935110923
16559999	8104501.265	1.000908497
16739999	8037209.285	1.001885993
16919999	8096490.358	0.9977582089
17099999	8044269.248	1.000743626
17279999	8042919.53	1.003193768
17459999	8097171.557	0.997491775
17639999	8042472.451	0.9976530463
17819999	8053235.214	0.9983118435
17999999	8046336.214	0.9991934262
18179999	8051503.987	1.001288038
18359999	8033961.181	1.003550655
18539999	8042372.684	0.9943406315
18719999	8046291.964	0.9970377573
18899999	8052744.69	0.9946590499
