timestep	potential_energy	temperature
179999	10657782.82	0.9985711629
359999	9202907.487	0.9996740395
539999	9201215.789	0.9996274881
719999	9193880.648	0.9963295746
899999	9195534.096	1.006810202
1079999	9212983.609	1.005972709
1259999	9184479.305	1.003655261
1439999	9194413.319	1.002066742
1619999	9186708.999	1.003280995
1799999	9213126.814	1.005185294
1979999	9190181.886	1.005126825
2159999	9170830.804	1.002395707
2339999	9181073.787	1.005060676
2519999	9176338.44	0.9972658042
2699999	9205945.826	1.004507073
2879999	9199837.946	0.9924199132
3059999	9182300.651	1.001337497
3239999	9201631.884	1.004158782
3419999	9197893.555	1.007934194
3599999	9188964.883	1.004306276
3779999	9169621.874	1.001318406
3959999	9185041.329	0.9959343104
4139999	9179203.851	1.001342662
4319999	9190397.796	1.005300415
4499999	9187370.807	0.9992876832
4679999	9173368.917	1.000348349
4859999	9179375.493	1.002292233
5039999	9190821.414	1.005753848
5219999	9186897.191	0.9962029811
5399999	9178536.874	0.993564373
5579999	9197116.136	1.001837679
5759999	9193419.898	1.001563163
5939999	9178662.075	1.002790318
6119999	9201102.33	0.9977634485
6299999	9195047.373	1.002875253
6479999	9172903.836	0.997004351
6659999	9182876.572	0.9945520894
6839999	9216758.381	0.9975701983
7019999	9168669.598	1.006849627
7199999	9182546.338	1.003760501
7379999	9190730.641	1.006377943
7559999	9192507.912	0.9964210826
7739999	9196284.731	1.008788262
7919999	9196430.771	0.9960796479
8099999	9177575.517	1.009156362
8279999	9181607.56	1.001442261
8459999	9193133.616	1.002290933
8639999	9183475.977	0.9926877875
8819999	9179998.454	0.9983321264
8999999	9197989.162	1.003704005
9179999	9189481.456	0.9989860332
9359999	9177686.128	0.9967015062
9539999	9173334.608	1.002551205
9719999	9187720.736	1.000308043
9899999	9181339.199	0.9988934058
10079999	9186177.415	1.006861623
10259999	9176890.228	0.9992645482
10439999	9180803.498	1.000718654
10619999	9188876.979	1.000076261
10799999	9171056.106	0.9896372631
10979999	9174492.627	0.993762656
11159999	9182869.551	0.9984368479
11339999	9187144.544	0.9958889668
11519999	9190118.223	1.003828419
11699999	9197264.546	1.001577034
11879999	9734413.007	1.002985565
12059999	9177668.067	1.004863529
12239999	9174474.326	1.002667275
12419999	9677592.323	1.011632353
12599999	9196548.814	0.99995861
12779999	9176052.908	1.002412389
12959999	9186477.711	0.9950550463
13139999	9188065.213	0.992421417
13319999	9210455.52	1.003253676
13499999	9196175.105	0.9919831195
13679999	9192175.969	1.000941815
13859999	9188706.957	1.002527092
14039999	9181287.59	0.9994647704
14219999	9199422.57	0.9960929805
14399999	9194250.358	1.002360542
14579999	9205611.136	1.011716576
14759999	9177884.43	0.9928757354
14939999	9189851.869	1.008970662
15119999	9177267.688	0.9989129245
15299999	9730288.541	0.9933004357
15479999	9197499.173	0.9964201281
15659999	9174097.139	0.9923523273
15839999	9187911.445	0.9950131894
16019999	9210732.963	0.994992532
16199999	9187251.81	0.9975928814
16379999	9217374.996	0.9989861148
16559999	9177678.724	0.9974297645
16739999	9184023.293	0.9976088332
16919999	9175210.54	1.000512404
17099999	9726246.345	1.004324809
17279999	9177492.84	0.9926071457
17459999	9200497.97	0.9985974686
17639999	9211448.806	1.00552441
17819999	9195194.415	0.999477803
17999999	9211758.546	1.000443541
18179999	9188050.375	0.9972191478
18359999	9186984.804	0.9963352235
18539999	9214077.084	0.997846486
18719999	9183148.694	1.000384081
18899999	9180446.878	1.00445961
